Date,Close,BBY,Close,BIIB,Close,BSX,Close,BXP,Close,COG,Close,GS,Close,INTC,Close,NEE,Close,AAL,Close,TXN
2005-09-28,43.130001,-0.006397078,38.150002,0.001139915,23.049999,-0.010241092,69.230003,-0.015164242,6.1025,0.012453095,120.099998,0.001557716,23.950001,0.002181494,46.799999,0.013764328,20.5,0.026196575,32.84,-0.001056652
2005-09-29,43.119999,-0.000100726,38.599998,0.005092717,23.35,0.005615974,69.610001,0.00237729,6.35125,0.01735142,121.220001,0.004031283,24.48,0.009505878,47.650002,0.007817079,20.209999,-0.006187569,33.18,0.004473233
2005-09-30,43.529999,0.004109915,39.48,0.009789862,23.370001,0.000371846,70.900002,0.007974607,6.31375,-0.002571826,121.580002,0.001287863,24.65,0.00300551,47.599998,-0.000455989,21.01,0.01685976,33.900002,0.009323342
2005-10-03,42.650002,-0.008869601,39.919998,0.004813367,23.370001,0,71.559998,0.004024072,6.4425,0.008767046,121.650002,0.000249974,24.6,-0.000881817,47.84,0.002184237,21.5,0.010012408,33.880001,-0.000256309
2005-10-04,41.84,-0.00832738,40.259998,0.003683238,23.98,0.011190448,70.330002,-0.00752969,6.2675,-0.011960085,118.919998,-0.009857227,24.5,-0.001769023,46.900002,-0.00861831,22.16,0.013131296,32.009998,-0.024657767
2005-10-05,40.93,-0.009549931,38.860001,-0.015370942,23.799999,-0.00327224,69.150002,-0.007348433,5.8975,-0.026426393,117.75,-0.004293977,24.07,-0.007689994,45.889999,-0.009454813,22.200001,0.000783238,31.389999,-0.008494345
2005-10-06,42.380001,0.015119218,37.240002,-0.018493112,23.620001,-0.003297027,68.449997,-0.004418764,5.545,-0.026766399,116.93,-0.003034966,23.76,-0.005629654,45.52,-0.003515795,22.58,0.007370944,30.530001,-0.012064483
2005-10-07,42.59,0.002146677,37.709999,0.005446825,23.6,-0.000367909,67.580002,-0.005555233,5.675,0.010064315,117.57,0.002370569,23.82,0.001095321,45.720001,0.001903978,22.15,-0.008350207,30.629999,0.001420164
2005-10-10,41.860001,-0.007508406,37.52,-0.002193691,23.799999,0.003664936,67.099998,-0.003095693,5.5525,-0.009477299,118.510002,0.003458487,23.42,-0.007354866,45.130001,-0.005640888,22.209999,0.001174808,30.059999,-0.008158021
2005-10-11,42.25,0.004027479,36.57,-0.011137869,23.469999,-0.006063868,66.279999,-0.005340014,5.9375,0.029115055,117.550003,-0.003532361,23.42,0,45.360001,0.002207712,21.98,-0.004520851,29.370001,-0.010085
2005-10-12,41,-0.013042857,35.939999,-0.0075469,23.48,0.000185021,65.360001,-0.006070443,5.7125,-0.01677741,115.650002,-0.007077,23.24,-0.003350767,44.919998,-0.004233327,21.76,-0.004368797,30.1,0.010662534
2005-10-13,41.759998,0.007976612,37.060001,0.013327366,24.299999,0.014908163,65.110001,-0.001664348,5.49,-0.017253869,113.18,-0.009375955,23.200001,-0.00074812,44.189999,-0.007115737,21.709999,-0.000999088,30.889999,0.011251399
2005-10-14,43.290001,0.015627127,38.02,0.011106686,23.860001,-0.007935798,66.839996,0.011388713,5.77875,0.022261562,114.550003,0.005225415,23.23,0.000561206,44.25,0.000589283,22.27,0.011060414,29.93,-0.013711177
2005-10-17,43.080002,-0.002111881,38.630001,0.006912607,23.57,-0.005310875,67.419998,0.00375232,5.89,0.008281388,117.050003,0.009376324,23.459999,0.004278779,44.5,0.002446736,22.08,-0.003721148,29.77,-0.002327882
2005-10-18,42.16,-0.009375113,38.650002,0.000224801,22.950001,-0.011576874,66.75,-0.004337465,5.6125,-0.020958941,117.089996,0.000148362,23.719999,0.004786677,43.529999,-0.009571354,21.49,-0.011762654,29.799999,0.000437415
2005-10-19,42.900002,0.00755671,39.27,0.006911381,23.73,0.014515029,67.449997,0.004530665,5.7625,0.011454584,121.199997,0.014982818,23.690001,-0.000549587,43.419998,-0.001098858,21.379999,-0.002228735,30.07,0.003917179
2005-10-20,43.880001,0.009809316,39.009998,-0.002884973,23.74,0.000182976,66.900002,-0.003555804,5.3775,-0.030030519,118.75,-0.008868991,23.620001,-0.001285167,42.310001,-0.011246764,21.02,-0.007374969,29.77,-0.004354593
2005-10-21,44,0.001186048,39.09,0.000889742,23.889999,0.002735417,67,0.000648672,5.425,0.003819323,118.769997,7.31E-05,23.15,-0.008728916,42.52,0.00215022,21.959999,0.018999604,30.52,0.010805695
2005-10-24,45.349998,0.013124596,39.650002,0.006177543,24.65,0.013600792,68.220001,0.007836919,5.795,0.028653698,123.300003,0.016256342,23.1,-0.000939015,43.48,0.00969628,22.309999,0.006867235,30.92,0.005654956
2005-10-25,44.540001,-0.00782705,40.419998,0.008353074,24.35,-0.005317958,67.720001,-0.003194766,6.05,0.018701934,123.550003,0.000879673,23.110001,0.000187984,43.119999,-0.003610793,22,-0.00607687,28.549999,-0.034633388
2005-10-26,43.700001,-0.008268776,40.009998,-0.004427758,24.33,-0.000356857,67.239998,-0.003089264,5.995,-0.003966187,124.25,0.002453637,23.07,-0.00075237,42.599998,-0.005269163,22.32,0.006271509,28.23,-0.004895219
2005-10-27,42.41,-0.013013174,38.349998,-0.018403184,24.280001,-0.000893409,66.529999,-0.004610175,5.75,-0.018121343,122.43,-0.006408548,22.84,-0.004351495,42.110001,-0.005024327,22.559999,0.004644886,27.469999,-0.011852235
2005-10-28,42.639999,0.002348913,38.490002,0.001582588,24.59,0.005509828,67.879997,0.008724298,5.80125,0.003853737,124.559998,0.007490743,23.33,0.009218639,42.950001,0.008577927,23.9,0.025058825,28,0.008299388
2005-10-31,44.259998,0.016194204,40.630001,0.023498899,25.120001,0.009261124,69.220001,0.008489787,5.72375,-0.005840925,126.370003,0.006265403,23.5,0.003153123,43.060001,0.001110857,24.68,0.013947254,28.549999,0.008448066
2005-11-01,44.450001,0.001860385,40.290001,-0.003649555,25.290001,0.002929194,67.650002,-0.009963787,5.67125,-0.004001864,126.599998,0.000789703,22.65,-0.015999656,42.220001,-0.008555796,25.02,0.00594215,28.549999,0
2005-11-02,46.09,0.015734933,41.16,0.009278088,25.290001,0,67.650002,0,5.725,0.004096699,129.130005,0.008593469,23.370001,0.013590525,42.259998,0.000411233,27.549999,0.041834282,29.639999,0.016272087
2005-11-03,47.700001,0.01491168,41.389999,0.00242005,25.620001,0.005630296,67.309998,-0.002188236,5.86,0.010122125,129.199997,0.000235336,23.889999,0.009557401,41.900002,-0.003715428,27.870001,0.005015397,30.809999,0.0168135
2005-11-04,48.580002,0.00793914,41.98,0.006147018,25.559999,-0.00101831,67,-0.002004775,5.62375,-0.01787161,130.960007,0.005876186,23.99,0.001814116,42.09,0.001964882,28.799999,0.014255488,30.950001,0.001968983
2005-11-07,48.41,-0.001522446,41.84,-0.001450758,25.6,0.000679133,67.470001,0.003035914,5.375,-0.019647538,129.149994,-0.006044299,24.5,0.009135836,41.360001,-0.007598385,28.93,0.001955961,31.049999,0.001400923
2005-11-08,46.799999,-0.014689239,42.919998,0.011068017,25.299999,-0.005119461,67.349998,-0.000773129,5.375,0,127.519997,-0.005516096,24.549999,0.000885394,41.18,-0.001894198,29.43,0.007441828,31.129999,0.001117516
2005-11-09,46.529999,-0.002512801,42.630001,-0.00294435,25.9,0.01017926,68.800003,0.00925087,5.3475,-0.002227675,128.699997,0.004000243,24.799999,0.004400185,41.68,0.005241368,31.299999,0.026754062,31.25,0.001670915
2005-11-10,47.48,0.008777667,43.98,0.013539882,25.969999,0.001172169,71.699997,0.01793068,5.13,-0.018033428,130.089996,0.004665364,25.24,0.007637687,41.709999,0.000312469,32.799999,0.020329507,31.620001,0.005111858
2005-11-11,47.040001,-0.004043388,44.91,0.00908783,25.450001,-0.008784129,72.849998,0.006910407,5.15125,0.001795262,130,-0.000300548,25.129999,-0.001896879,41.77,0.000624296,33.349998,0.007221982,31.120001,-0.006922277
2005-11-14,46.5,-0.005014369,43.740002,-0.011464257,25.02,-0.007400498,73.230003,0.002259508,5.095,-0.004768439,129.240005,-0.002546386,25.370001,0.004128013,41.07,-0.007339772,33.75,0.005177965,31.879999,0.010478697
2005-11-15,43.889999,-0.025087382,43.810001,0.000694465,25.08,0.001040227,72.889999,-0.002021108,5.06,-0.002993672,127.970001,-0.004288793,25.08,-0.004992952,40.830002,-0.002545302,33.880001,0.001669637,31.469999,-0.00562157
2005-11-16,44.889999,0.009784025,43.720001,-0.0008931,25,-0.001387523,73.010002,0.000714416,5.315,0.021352752,128.179993,0.00071207,24.91,-0.002953805,41.540001,0.007487101,33.599998,-0.003604163,31.549999,0.001102621
2005-11-17,45.27,0.003660899,44.810001,0.01069479,25.940001,0.01602998,73.800003,0.004674019,5.26625,-0.004001797,130.410004,0.007490665,25.110001,0.003473002,42.529999,0.01022887,34.32,0.009208028,31.879999,0.004518949
2005-11-18,45.91,0.006096798,45.330002,0.005010785,26.1,0.002670519,73.949997,0.000881781,5.27375,0.000618066,131.580002,0.00387898,25.299999,0.003273774,43.169998,0.006486656,33.049999,-0.016375828,31.879999,0
2005-11-21,47.049999,0.010652326,45.119999,-0.002016657,26.26,0.002654214,73.669998,-0.001647503,5.3725,0.008056886,132.410004,0.00273091,25.25,-0.000859122,42.970001,-0.002016665,31.99,-0.014157211,31.799999,-0.001091193
2005-11-22,48.16,0.01012686,44.759998,-0.003479023,25.969999,-0.004822789,74.169998,0.002937609,5.54625,0.013823018,132.600006,0.000622745,26.16,0.015376357,42.880001,-0.000910577,32.5,0.006869121,32.549999,0.010123873
2005-11-23,49,0.007509602,44.830002,0.0006787,26.299999,0.005483799,74.410004,0.001403061,5.4625,-0.006607992,134.080002,0.004820464,26.639999,0.007896465,43.130001,0.002524681,33.040001,0.007156691,32.200001,-0.004695094
2005-11-25,50.630001,0.014211856,44.490002,-0.003306333,26.57,0.004435822,74.660004,0.001456681,5.48625,0.001884144,134.119995,0.000129521,26.809999,0.002762594,43.380001,0.002510089,32.849998,-0.002504704,32.16,-0.000539845
2005-11-28,50.139999,-0.004223615,43.419998,-0.010572626,26.370001,-0.003281408,74.449997,-0.001223324,5.19,-0.024108236,131.100006,-0.009890817,26.860001,0.000809227,43.099998,-0.002812308,33.41,0.007341128,32,-0.002166062
2005-11-29,48.75,-0.012209701,43.029999,-0.003918463,26.450001,0.001315547,75.300003,0.004930309,5.21,0.001670365,130.449997,-0.002158638,26.780001,-0.001295436,43.18,0.000805388,32.900002,-0.006680551,31.860001,-0.001904193
2005-11-30,48.240002,-0.004567303,42.810001,-0.002226098,26.48,0.000492288,75.209999,-0.000519411,5.27625,0.005487642,128.960007,-0.004989025,26.68,-0.001624764,42.389999,-0.008019232,33.59,0.009014079,32.48,0.008370235
