"word","freq","proportion"
"great",5644,0.188749916393552
"hotel",5617,0.187846966758076
"room",4379,0.146445053842552
"staff",3555,0.118888368670992
"stay",3124,0.104474617082469
"nice",3062,0.102401177178784
"service",3031,0.101364457226941
"time",2876,0.0961808574677279
"clean",2799,0.0936057788776671
"place",2658,0.0888903752257374
"friendly",2626,0.087820212694803
"one",2482,0.0830044813055983
"good",2323,0.0776871112300181
"get",2256,0.0754464584308742
"breakfast",2251,0.0752792455354157
"will",2188,0.0731723630526386
"also",2167,0.0724700688917129
"just",2145,0.0717343321516955
"like",2027,0.067788107818875
"really",1981,0.0662497491806568
"well",1956,0.0654136847033643
"rooms",1869,0.0625041803223865
"back",1836,0.0614005752123604
"car",1758,0.0587920540432078
"area",1752,0.0585913985686576
"can",1663,0.0556150090294964
"experience",1629,0.0544779613403786
"food",1587,0.0530733730185272
"free",1577,0.0527389472276102
"stayed",1548,0.0517691124339509
"pittsburgh",1530,0.0511671460103003
"even",1528,0.0511002608521169
"recommend",1525,0.0509999331148418
"best",1514,0.0506320647448331
"night",1468,0.0490937061066149
"location",1467,0.0490602635275232
"definitely",1441,0.0481907564711391
"always",1431,0.0478563306802221
"comfortable",1391,0.0465186275165541
"day",1380,0.0461507591465454
"amazing",1358,0.045415022406528
"cleveland",1340,0.0448130559828774
"airport",1283,0.0429068289746505
"made",1273,0.0425724031837335
"got",1251,0.0418366664437161
"tour",1217,0.0406996187545984
"love",1208,0.0403986355427731
"helpful",1205,0.040298307805498
"desk",1182,0.0395291284863889
"everything",1182,0.0395291284863889
"front",1167,0.0390274898000134
"ive",1154,0.0385927362718213
"way",1147,0.0383586382181794
"first",1136,0.0379907698481707
"new",1118,0.0373888034245201
"parking",1103,0.0368871647381446
"much",1084,0.0362517557354023
"every",1063,0.0355494615744766
"make",1062,0.0355160189953849
"people",1027,0.0343455287271754
"little",1020,0.0341114306735335
"went",1018,0.0340445455153501
"right",1016,0.0339776603571667
"beautiful",1014,0.0339107751989833
"didnt",1012,0.0338438900407999
"bar",996,0.0333088087753328
"super",989,0.0330747107216909
"see",987,0.0330078255635075
"lot",983,0.0328740552471407
"awesome",953,0.0318707778743897
"bed",951,0.0318038927162063
"next",936,0.0313022540298308
"take",928,0.0310347133970972
"excellent",926,0.0309678282389138
"two",922,0.030834057922547
"sure",917,0.0306668450270885
"highly",892,0.029830780549796
"easy",892,0.029830780549796
"around",891,0.0297973379707043
"city",878,0.0293625844425122
"check",876,0.0292956992843288
"dont",875,0.0292622567052371
"downtown",855,0.0285934051234031
"wonderful",850,0.0284261922279446
"many",841,0.0281252090161193
"ever",829,0.0277238980670189
"trip",810,0.0270884890642766
"work",788,0.0263527523242592
"home",769,0.025717343321517
"perfect",768,0.0256839007424253
"never",767,0.0256504581633336
"price",748,0.0250150491605913
"inn",747,0.0249816065814996
"took",734,0.0245468530533075
"know",733,0.0245134104742158
"use",724,0.0242124272623905
"fun",724,0.0242124272623905
"happy",716,0.0239448866296569
"come",714,0.0238780014714735
"restaurant",708,0.0236773459969233
"need",704,0.0235435756805565
"staying",702,0.0234766905223731
"going",700,0.0234098053641897
"want",692,0.0231422647314561
"lobby",691,0.0231088221523644
"small",689,0.023041936994181
"family",687,0.0229750518359976
"cant",679,0.022707511203264
"coffee",678,0.0226740686241723
"say",678,0.0226740686241723
"pool",676,0.0226071834659889
"hotels",675,0.0225737408868972
"visit",674,0.0225402983078055
"morning",668,0.0223396428332553
"madison",664,0.0222058725168885
"loved",664,0.0222058725168885
"view",660,0.0220721022005217
"walk",659,0.02203865962143
"restaurants",653,0.0218380041468798
"last",647,0.0216373486723296
"customer",647,0.0216373486723296
"large",643,0.0215035783559628
"feel",643,0.0215035783559628
"thank",641,0.0214366931977794
"everyone",633,0.0211691525650458
"pretty",630,0.0210688248277707
"house",630,0.0210688248277707
"top",630,0.0210688248277707
"shuttle",629,0.021035382248679
"better",627,0.0209684970904956
"came",624,0.0208681693532205
"find",624,0.0208681693532205
"youre",622,0.0208012841950371
"things",612,0.0204668584041201
"times",597,0.0199652197177446
"close",594,0.0198648919804695
"business",593,0.0198314494013778
"fantastic",585,0.0195639087686442
"minutes",580,0.0193966958731857
"extremely",579,0.019363253294094
"needed",577,0.0192963681359106
"hot",573,0.0191625978195438
"away",571,0.0190957126613604
"driver",563,0.0188281720286268
"hour",563,0.0188281720286268
"town",561,0.0187612868704434
"ride",557,0.0186275165540766
"delicious",557,0.0186275165540766
"enough",555,0.0185606313958932
"enjoyed",552,0.0184603036586182
"bathroom",550,0.0183934185004348
"looking",549,0.0183599759213431
"since",546,0.018259648184068
"spacious",546,0.018259648184068
"beer",541,0.0180924352886095
