"word","freq","proportion"
"room",10213,0.341549060263528
"hotel",7343,0.24556885827035
"one",5416,0.181125008360645
"get",5318,0.177847635609658
"service",4398,0.147080462845295
"just",4397,0.147047020266203
"time",4206,0.140659487659688
"stay",3975,0.132934251889506
"car",3973,0.132867366731322
"like",3755,0.125576884489332
"back",3749,0.125376229014782
"told",3709,0.124038525851114
"will",3470,0.116045749448197
"never",3468,0.115978864290014
"said",3374,0.112835261855394
"desk",3360,0.11236706574811
"didnt",3306,0.110561166477159
"even",3263,0.109123135576216
"place",3221,0.107718547254364
"front",3164,0.105812320246137
"night",3040,0.101665440438767
"dont",2936,0.0981874122132299
"called",2925,0.0978195438432212
"got",2791,0.0933382382449335
"staff",2679,0.0895926693866631
"day",2491,0.0833054645174236
"rooms",2422,0.0809979265600963
"people",2405,0.0804294027155374
"minutes",2386,0.0797939937127951
"good",2205,0.0737408868971975
"also",2178,0.0728379372617216
"went",2124,0.0710320379907698
"asked",2121,0.0709317102534947
"call",2088,0.0698281051434687
"first",2086,0.0697612199852853
"can",2068,0.0691592535616347
"another",2004,0.0670189284997659
"two",1991,0.0665841749715738
"bed",1930,0.0645441776469801
"manager",1926,0.0644104073306133
"customer",1905,0.0637081131696876
"nice",1858,0.0621363119523778
"really",1829,0.0611664771587185
"next",1817,0.0607651662096181
"going",1810,0.0605310681559762
"food",1794,0.059995986890509
"ever",1786,0.0597284462577754
"check",1783,0.0596281185205003
"way",1770,0.0591933649923082
"experience",1734,0.057989432145007
"know",1725,0.0576884489331817
"breakfast",1719,0.0574877934586315
"well",1668,0.0557822219249549
"take",1655,0.0553474683967628
"work",1650,0.0551802555013043
"still",1616,0.0540432078121865
"stayed",1615,0.0540097652330948
"around",1601,0.053541569125811
"left",1593,0.0532740284930774
"make",1589,0.0531402581767106
"clean",1566,0.0523710788576015
"give",1561,0.052203865962143
"location",1561,0.052203865962143
"made",1556,0.0520366530666845
"bad",1502,0.0502307537957327
"came",1489,0.0497960002675406
"much",1475,0.0493278041602568
"now",1466,0.0490268209484315
"took",1455,0.0486589525784228
"airport",1439,0.0481238713129557
"ive",1381,0.0461842017256371
"door",1381,0.0461842017256371
"hours",1359,0.0454484649856197
"better",1334,0.0446124005083272
"wasnt",1328,0.044411745033777
"floor",1327,0.0443783024546853
"new",1308,0.043742893451943
"find",1294,0.0432746973446592
"bathroom",1286,0.0430071567119256
"want",1283,0.0429068289746505
"worst",1283,0.0429068289746505
"hour",1282,0.0428733863955588
"phone",1282,0.0428733863955588
"use",1274,0.0426058457628252
"see",1271,0.0425055180255501
"need",1265,0.0423048625509999
"someone",1259,0.0421042070764497
"morning",1259,0.0421042070764497
"great",1254,0.0419369941809912
"say",1236,0.0413350277573406
"since",1230,0.0411343722827904
"dirty",1230,0.0411343722827904
"parking",1223,0.0409002742291486
"right",1221,0.0408333890709652
"come",1214,0.0405992910173233
"times",1198,0.0400642097518561
"rude",1196,0.0399973245936727
"pay",1194,0.0399304394354893
"money",1191,0.0398301116982142
"area",1187,0.0396963413818474
"cab",1181,0.0394956859072972
"bus",1176,0.0393284730118387
"company",1171,0.0391612601163802
"nothing",1168,0.0390609323791051
"flight",1164,0.0389271620627383
"last",1157,0.0386930640090964
"business",1150,0.0384589659554545
"away",1141,0.0381579827436292
"checked",1131,0.0378235569527122
"card",1129,0.0377566717945288
"lot",1120,0.0374556885827035
"shower",1118,0.0373888034245201
"later",1101,0.0368202795799612
"sure",1080,0.0361179854190355
"wait",1074,0.0359173299444853
"long",1071,0.0358170022072102
"booked",1067,0.0356832318908434
"days",1059,0.0354156912581098
"old",1054,0.0352484783626513
"reservation",1051,0.0351481506253762
"driver",1048,0.0350478228881011
"water",1044,0.0349140525717343
"think",1034,0.0345796267808173
"found",1023,0.0342117584108086
"price",1010,0.0337770048826165
"person",992,0.033175038458966
"put",987,0.0330078255635075
"free",967,0.0323389739816735
"every",948,0.0317035649789312
"wanted",946,0.0316366798207478
"anything",934,0.0312353688716474
"gave",932,0.031168483713464
"couldnt",928,0.0310347133970972
"arrived",926,0.0309678282389138
"waiting",923,0.0308675005016387
"finally",923,0.0308675005016387
"however",920,0.0307671727643636
"cant",902,0.030165206340713
"many",899,0.0300648786034379
"something",891,0.0297973379707043
"though",884,0.0295632399170624
"little",875,0.0292622567052371
"horrible",874,0.0292288141261454
"tell",871,0.0291284863888703
"else",870,0.0290950438097786
"tried",868,0.0290281586515952
"used",868,0.0290281586515952
"late",864,0.0288943883352284
"charge",858,0.0286937328606782
"let",856,0.0286268477024948
"needed",855,0.0285934051234031
"hotels",854,0.0285599625443114
"staying",852,0.028493077386128
"ask",841,0.0281252090161193
"thing",839,0.0280583238579359
"least",825,0.0275901277506521
"getting",821,0.0274563574342853
"things",820,0.0274229148551936
"thats",815,0.0272557019597351
"lobby",813,0.0271888168015517
"help",812,0.02715537422246
"paid",807,0.0269881613270015
"everything",806,0.0269547187479098
"terrible",804,0.0268878335897264
"care",801,0.0267875058524513
"friendly",798,0.0266871781151762
"restaurant",797,0.0266537355360845
"actually",795,0.0265868503779011
"different",791,0.0264530800615343
"cleveland",790,0.0264196374824426
"small",788,0.0263527523242592
"look",786,0.0262858671660758
"bar",785,0.0262524245869841
"coffee",785,0.0262524245869841
"enough",778,0.0260183265333423
"outside",771,0.0257842284797004
"leave",771,0.0257842284797004
"star",768,0.0256839007424253
"guests",758,0.0253494749515083
"charged",754,0.0252157046351415
"review",753,0.0251822620560498
"pretty",753,0.0251822620560498
"home",753,0.0251822620560498
"shuttle",753,0.0251822620560498
"stars",749,0.025048491739683
"trip",744,0.0248812788442245
"problem",743,0.0248478362651328
"rental",741,0.0247809511069494
"wouldnt",740,0.0247475085278577
"looked",739,0.024714065948766
"second",738,0.0246806233696743
"sleep",736,0.0246137382114909
"working",734,0.0245468530533075
"years",733,0.0245134104742158
"order",731,0.0244465253160324
"full",730,0.0244130827369407
"credit",728,0.0243461975787573
"pittsburgh",722,0.0241455421042071
"line",713,0.0238445588923818
"recommend",713,0.0238445588923818
"doesnt",705,0.0235770182596482
"pick",701,0.0234432479432814
"available",695,0.0232425924687312
"point",692,0.0231422647314561
"without",687,0.0229750518359976
"try",686,0.0229416092569059
"inn",684,0.0228747240987225
"half",681,0.0227743963614474
"thought",681,0.0227743963614474
"pool",680,0.0227409537823557
"issue",673,0.0225068557287138
"wedding",673,0.0225068557287138
